chemical name,InChIKey,standardised_smiles,source,mitochondrial toxic
SPIPERONE,DKGZKTPJOSAWFA-UHFFFAOYSA-N,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,tox21_mmp,toxic
TYRPHOSTIN 23,VTJXFTPMFYAJJU-UHFFFAOYSA-N,N#CC(C#N)=Cc1ccc(O)c(O)c1,tox21_mmp,toxic
IN20I6UNU6,YNVGQYHLRCDXFQ-JBKQDOAHSA-N,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,tox21_mmp,toxic
DTXSID7041752,DHZBEENLJMYSHQ-OBDNUKKESA-N,C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1,tox21_mmp,toxic
DICUMAROL,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,tox21_mmp,toxic
HEXESTROL,PBBGSZCBWVPOOL-HDICACEKSA-N,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,tox21_mmp,toxic
DIENESTROL,NFDFQCUYFHCNBW-SCGPFSFSSA-N,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,tox21_mmp,toxic
BUTYLPARABEN,QFOHBWFCKVYLES-UHFFFAOYSA-N,CCCCOC(=O)c1ccc(O)cc1,tox21_mmp,toxic
MONOBENZONE,VYQNWZOUAUKGHI-UHFFFAOYSA-N,Oc1ccc(OCc2ccccc2)cc1,tox21_mmp,toxic
BENZONATATE,MAFMQEKGGFWBAB-UHFFFAOYSA-N,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,tox21_mmp,toxic
DIOXYBENZONE,MEZZCSHVIGVWFI-UHFFFAOYSA-N,COc1ccc(C(=O)c2ccccc2O)c(O)c1,tox21_mmp,toxic
ACENOCOUMAROL,VABCILAOYCMVPS-UHFFFAOYSA-N,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,tox21_mmp,toxic
GOSSYPOL,QBKSWRVVCFFDOT-UHFFFAOYSA-N,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,tox21_mmp,toxic
PROSCILLARIDIN,MYEJFUXQJGHEQK-ALRJYLEOSA-N,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,tox21_mmp,toxic
CANADINE,VZTUIEROBZXUFA-UHFFFAOYSA-N,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4,tox21_mmp,toxic
FLUFENAMIC ACID,LPEPZBJOKDYZAD-UHFFFAOYSA-N,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,tox21_mmp,toxic
BISACODYL,KHOITXIGCFIULA-UHFFFAOYSA-N,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,tox21_mmp,toxic
BERBERINE CHLORIDE,VKJGBAJNNALVAV-UHFFFAOYSA-M,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],tox21_mmp,toxic
AKABAR,YCWSUKQGVSGXJO-UHFFFAOYSA-N,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,tox21_mmp,toxic
DTXSID7023697,ULLNJSBQMBKOJH-SCNPRXQJSA-N,CCO[C@@H]1O[C@H](C(COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O,tox21_mmp,toxic
TOLFENAMIC ACID,YEZNLOUZAIOMLT-UHFFFAOYSA-N,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,tox21_mmp,toxic
PARBENDAZOLE,YRWLZFXJFBZBEY-UHFFFAOYSA-N,CCCCc1ccc2nc(NC(=O)OC)[nH]c2c1,tox21_mmp,toxic
MEBENDAZOLE,OPXLLQIJSORQAM-UHFFFAOYSA-N,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,tox21_mmp,toxic
ISOXICAM,YYUAYBYLJSNDCX-UHFFFAOYSA-N,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,tox21_mmp,toxic
ALBENDAZOLE,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,tox21_mmp,toxic
TENOXICAM,LZNWYQJJBLGYLT-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,tox21_mmp,toxic
FLUTICASONE PROPIPONATE,WMWTYOKRWGGJOA-ZHLGSTKJSA-N,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,tox21_mmp,toxic
MOMETASONE FUROATE,WOFMFGQZHJDGCX-ZULDAHANSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,tox21_mmp,toxic
PYRVINIUM PAMOATE,OOPDAHSJBRZRPH-UHFFFAOYSA-L,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,tox21_mmp,toxic
QUERCETIN DIHYDRATE,GMGIWEZSKCNYSW-UHFFFAOYSA-N,O.O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,tox21_mmp,toxic
DTXSID1045584,MGCCHNLNRBULBU-QGLAHWQJSA-N,CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,tox21_mmp,toxic
BPD-MA(SUB D),NYCOCMNWCGUKJF-ZSFNYQMMSA-N,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)O)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,tox21_mmp,toxic
CURCUMIN,VFLDPWHFBUODDF-FCXRPNKRSA-N,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,tox21_mmp,toxic
RIBOFLAVIN,AUNGANRZJHBGPY-SCRDCRAPSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,tox21_mmp,toxic
TOMELUKAST,MWYHLEQJTQJHSS-UHFFFAOYSA-N,CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O,tox21_mmp,toxic
PHENAZOPYRIDINE HYDROCHLORIDE,QQBPIHBUCMDKFG-UHFFFAOYSA-N,Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1,tox21_mmp,toxic
BITHIONOL,JFIOVJDNOJYLKP-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,tox21_mmp,toxic
PHENOLPHTHALEIN,KJFMBFZCATUALV-UHFFFAOYSA-N,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,tox21_mmp,toxic
DIACEREIN,TYNLGDBUJLVSMA-UHFFFAOYSA-N,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,tox21_mmp,toxic
RAPAMYCIN,QFJCIRLUMZQUOT-LAOSHSCVSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,tox21_mmp,toxic
PODOPHYLLOTOXIN,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,tox21_mmp,toxic
DIFLORASONE DIACETATE,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,tox21_mmp,toxic
DAUNORUBICIN,STQGQHZAVUOBTE-VGBVRHCVSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,tox21_mmp,toxic
BROMOCRIPTINE,OZVBMTJYIDMWIL-AYFBDAFISA-N,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,tox21_mmp,toxic
SPIRAMIDE,FJUKDAZEABGEIH-UHFFFAOYSA-N,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,tox21_mmp,toxic
OLVANIL,OPZKBPQVWDSATI-KHPPLWFESA-N,CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,tox21_mmp,toxic
FULVESTRANT,VWUXBMIQPBEWFH-WCCTWKNTSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,tox21_mmp,toxic
COLCHICINE,IAKHMKGGTNLKSZ-INIZCTEOSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,tox21_mmp,toxic
MIFEPRISTONE,VKHAHZOOUSRJNA-GCNJZUOMSA-N,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,tox21_mmp,toxic
METANIXIN,HUIJQYKRBFBVAO-UHFFFAOYSA-N,Cc1cccc(C)c1Nc1ncccc1C(=O)O,tox21_mmp,toxic
ZERANOL,DWTTZBARDOXEAM-GXTWGEPZSA-N,C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,tox21_mmp,toxic
102-77-2,MHKLKWCYGIBEQF-UHFFFAOYSA-N,c1ccc2sc(SN3CCOCC3)nc2c1,tox21_mmp,toxic
CARBARYL,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,tox21_mmp,toxic
6898-97-1,RGLYKWWBQGJZGM-UHFFFAOYSA-N,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,tox21_mmp,toxic
FENRETINIDE,AKJHMTWEGVYYSE-FXILSDISSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,tox21_mmp,toxic
NITAZOXANIDE,YQNQNVDNTFHQSW-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,tox21_mmp,toxic
NELFINAVIR MESYLATE,NQHXCOAXSHGTIA-SKXNDZRYSA-N,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,tox21_mmp,toxic
DIGOXIN,LTMHDMANZUZIPE-PUGKRICDSA-N,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,tox21_mmp,toxic
"PHENOL, 4-ISONONYL-",JSFITYFUKSFPBZ-UHFFFAOYSA-N,CC(C)CCCCCCc1ccc(O)cc1,tox21_mmp,toxic
PROPYLPARABEN,QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)c1ccc(O)cc1,tox21_mmp,toxic
DOMIPHEN BROMIDE,OJIYIVCMRYCWSE-UHFFFAOYSA-M,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],tox21_mmp,toxic
TRITON X-100,JYCQQPHGFMYQCF-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,tox21_mmp,toxic
CLOFENOTANE,YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,tox21_mmp,toxic
CRYSTAL VIOLET,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],tox21_mmp,toxic
PHENOTHIAZINE,WJFKNYWRSNBZNX-UHFFFAOYSA-N,c1ccc2c(c1)Nc1ccccc1S2,tox21_mmp,toxic
"2,4,6-TRIBROMOPHENOL",BSWWXRFVMJHFBN-UHFFFAOYSA-N,Oc1c(Br)cc(Br)cc1Br,tox21_mmp,toxic
HEXACHLOROPHENE,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,tox21_mmp,toxic
"2,4,5-TRICHLOROPHENOL",LHJGJYXLEPZJPM-UHFFFAOYSA-N,Oc1cc(Cl)c(Cl)cc1Cl,tox21_mmp,toxic
DICHLOROPHEN,MDNWOSOZYLHTCG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,tox21_mmp,toxic
4-CHLORO-3-METHYLPHENOL,CFKMVGJGLGKFKI-UHFFFAOYSA-N,Cc1cc(O)ccc1Cl,tox21_mmp,toxic
DANTHRON,QBPFLULOKWLNNW-UHFFFAOYSA-N,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,tox21_mmp,toxic
SAQUINAVIR MESYLATE,IRHXGOXEBNJUSN-YOXDLBRISA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,tox21_mmp,toxic
"1-[(5-NITRO-2-FURANYL)METHYLIDENEAMINO]IMIDAZOLIDINE-2,4-DIONE",NXFQHRVNIOXGAQ-UHFFFAOYSA-N,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,tox21_mmp,toxic
ETHINYL ESTRADIOL,BFPYWIDHMRZLRN-SLHNCBLASA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,tox21_mmp,toxic
ESTRADIOL,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,tox21_mmp,toxic
4-TERT-AMYLPHENOL,NRZWYNLTFLDQQX-UHFFFAOYSA-N,CCC(C)(C)c1ccc(O)cc1,tox21_mmp,toxic
"2,4-DINITROFLUOROBENZENE",LOTKRQAVGJMPNV-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,tox21_mmp,toxic
TOXAPHENE,OEJNXTAZZBRGDN-UHFFFAOYSA-N,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,tox21_mmp,toxic
ZINC PYRITHIONE,PICXIOQBANWBIZ-UHFFFAOYSA-N,[O-]n1ccccc1=S.[O-]n1ccccc1=S.[Zn+2],tox21_mmp,toxic
ERGOTAMINE TARTRATE,CJMJLDQKTOJACI-BGQAIRJTSA-N,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)[C@H](O)[C@@H](O)C(=O)O,tox21_mmp,toxic
52417-22-8,OREJEGKBQBIJSJ-UHFFFAOYSA-N,Cl.Nc1c2ccccc2nc2ccccc12.O,tox21_mmp,toxic
CINALUKAST,BZMKNPGKXJAIDV-VAWYXSNFSA-N,CCC(CC)(CC(=O)Nc1cccc(/C=C/c2nc(C3CCC3)cs2)c1)C(=O)O,tox21_mmp,toxic
TRICIRIBINE,HOGVTUZUJGHKPL-HTVVRFAVSA-N,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23,tox21_mmp,toxic
AMSACRINE HYDROCHLORIDE,WDISRLXRMMTXEV-UHFFFAOYSA-N,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl,tox21_mmp,toxic
IDARUBICIN HYDROCHLORIDE,JVHPTYWUBOQMBP-RVFAQHLVSA-N,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,tox21_mmp,toxic
"3-[(3,5-DIMETHYL-1H-PYRROL-2-YL)METHYLIDENE]-1H-INDOL-2-ONE",WUWDLXZGHZSWQZ-UHFFFAOYSA-N,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,tox21_mmp,toxic
DIURON,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,tox21_mmp,toxic
AVERMECTIN B1A,RRZXIRBKKLTSOM-XPNPUAGNSA-N,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,tox21_mmp,toxic
"4-CHLORO-3,5-DIMETHYLPHENOL",OSDLLIBGSJNGJE-UHFFFAOYSA-N,Cc1cc(O)cc(C)c1Cl,tox21_mmp,toxic
RIFAMPICIN,JQXXHWHPUNPDRT-WLSIYKJHSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,tox21_mmp,toxic
NCGC00094807-01,BJSPSQYEAXWPOK-ACCVAKIWSA-N,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)C(Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,tox21_mmp,toxic
ACRIFLAVINE,PEJLNXHANOHNSU-UHFFFAOYSA-N,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],tox21_mmp,toxic
FLOPROPIONE,PTHLEKANMPKYDB-UHFFFAOYSA-N,CCC(=O)c1c(O)cc(O)cc1O,tox21_mmp,toxic
FENDILINE HYDROCHLORIDE,NJXWZWXCHBNOOG-UHFFFAOYSA-N,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1.Cl,tox21_mmp,toxic
ESTRADIOL ACETATE,FHXBMXJMKMWVRG-SLHNCBLASA-N,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,tox21_mmp,toxic
LANATOSIDE C,JAYAGJDXJIDEKI-PTGWOZRBSA-N,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,tox21_mmp,toxic
ANTHRAQUINONE,RZVHIXYEVGDQDX-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2ccccc21,tox21_mmp,toxic
CLOFOCTOL,HQVZOORKDNCGCK-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,tox21_mmp,toxic
PERHEXILINE MALEATE,JDZOTSLZMQDFLG-BTJKTKAUSA-N,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O,tox21_mmp,toxic
