PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,standardised_smiles
103,144203654.0,4211.0,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Active,52.0,,,active antagonist,active antagonist,14.3968,-104.504,active agonist,11.4358,39.8324,active antagonist,19.5704,-99.7217,inactive,,0,SigmaAldrich,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
140,144203691.0,3194.0,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Active,48.0,,,active antagonist,active antagonist,23.159,-94.0728,active agonist,28.8147,83.308,active antagonist,24.0651,-62.0895,inactive,,0,SigmaAldrich,O=c1c2ccccc2[se]n1-c1ccccc1
161,144203712.0,5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,58.0,,,active antagonist,active antagonist,6.68242,-113.29,active agonist,23.7101,51.1262,active antagonist,6.68242,-103.662,inactive,,0,SigmaAldrich,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
173,144203724.0,54459.0,C1CN=C(N1)C2COC3=CC=CC=C3O2,Active,45.0,,,active antagonist,active antagonist,20.6405,-59.6744,inactive,,0,inconclusive antagonist,21.1317,-63.5717,inactive,,0,BIOMOL,c1ccc2c(c1)OCC(C1=NCCN1)O2
182,144203733.0,3899.0,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Active,59.0,,,active antagonist,active antagonist,10.1235,-136.954,inconclusive agonist,7.59158,24.5614,active antagonist,9.74239,-112.187,inactive,,0,"Prestwick Chemical, Inc.",Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
189,144203740.0,4122.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Active,52.0,,,active antagonist,active antagonist,3.53227,-62.4949,inactive,,0,active antagonist,3.2713,-64.0047,inconclusive agonist,,,Microsource,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
201,144203752.0,4507.0,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,Active,48.0,,,active antagonist,active antagonist,28.7255,-117.651,active agonist,9.43918,61.2984,active antagonist,33.4915,-91.0195,inconclusive antagonist,,-35.8704,BIOMOL,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
206,144203757.0,4488.0,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,Active,54.0,,,active antagonist,active antagonist,13.0233,-112.767,active agonist,25.9849,42.9877,active antagonist,14.0622,-109.211,inactive,,0,BIOMOL,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
207,144203758.0,4495.0,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,Active,61.0,,,active antagonist,active antagonist,3.45673,-104.756,inactive,,0,active antagonist,3.73249,-98.6886,inactive,,0,"Prestwick Chemical, Inc.",CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
209,144203760.0,4477.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,89.0,,,active antagonist,active antagonist,0.0348017,-100.148,inactive,,0,active antagonist,0.037578,-105.674,inconclusive antagonist,,,SigmaAldrich,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
210,144203761.0,71398.0,C[C@H](CC1=CC(=C(C=C1)O)O)[C@@H](C)CC2=CC(=C(C=C2)O)O,Active,51.0,,,active antagonist,active antagonist,15.7781,-103.275,inconclusive agonist,,22.6813,active antagonist,16.3953,-109.908,inactive,,0,"Prestwick Chemical, Inc.",C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
211,144203762.0,4474.0,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,Active,49.0,,,active antagonist,active antagonist,21.9584,-106.641,active antagonist,6.18872,-28.3695,active antagonist,22.8175,-125.455,inactive,,0,BIOMOL,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
230,144203781.0,4992.0,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,Active,64.0,,,active antagonist,active antagonist,0.219584,-65.0631,inactive,,0,active antagonist,0.155454,-45.8291,inactive,,0,BIOMOL,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
231,144203782.0,54676228.0,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,Active,56.0,,,active antagonist,active antagonist,7.4473,-102.198,active agonist,5.07379,33.0988,active antagonist,8.35601,-91.6549,inactive,,0,"Prestwick Chemical, Inc.",CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
243,144203794.0,4781.0,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Active,48.0,,,active antagonist,active antagonist,11.607,-62.7784,active agonist,23.159,40.9534,inconclusive antagonist,,,inactive,,0,NCI,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
255,144203806.0,54900.0,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl,Active,57.0,,,active antagonist,active antagonist,5.81729,-102.273,inactive,,0,active antagonist,4.98946,-89.8368,inactive,,0,SigmaAldrich,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
257,144203808.0,445154.0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Active,51.0,,,active antagonist,active antagonist,2.45471,-50.7528,inactive,,0,active antagonist,2.39026,-41.1399,inactive,,0,"Prestwick Chemical, Inc.",Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
267,144203818.0,8515.0,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,Active,68.0,,,active antagonist,active antagonist,0.921978,-96.8769,inactive,,0,active antagonist,0.821714,-92.2474,inactive,,0,SigmaAldrich,O=C1c2ccccc2-c2n[nH]c3cccc1c23
269,144203820.0,5265.0,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,Active,53.0,,,active antagonist,active antagonist,3.61632,-65.0908,inactive,,0,active antagonist,2.87255,-50.4468,inactive,,0,BIOMOL,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
287,144203838.0,2052.0,C1=CC(=C(C=C1C=C(C#N)C#N)O)O,Active,51.0,,,active antagonist,active antagonist,17.7033,-107.25,inactive,,0,active antagonist,17.7033,-90.8066,inactive,,0,SigmaAldrich,N#CC(C#N)=Cc1ccc(O)c(O)c1
319,144203870.0,5284486.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@]2(C#C)O)CCC4=CCCC[C@H]34,Active,52.0,,,active antagonist,active antagonist,10.1235,-89.8907,active agonist,8.04141,70.4703,inconclusive antagonist,11.3588,-68.9107,inactive,,0,"Prestwick Chemical, Inc.",C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
326,144203877.0,6708701.0,C[C@]12C3CCC([C@]1(C(=O)OC2=O)C)O3,Active,66.0,,,active antagonist,active antagonist,0.154406,-67.2342,inactive,,0,active antagonist,0.142999,-70.1907,active agonist,0.663741,69.0957,"Prestwick Chemical, Inc.",C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1
357,144203908.0,54676038.0,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,Active,55.0,,,active antagonist,active antagonist,7.73866,-98.5051,inactive,,0,active antagonist,8.68291,-92.3939,inactive,,0,"Prestwick Chemical, Inc.",O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
377,144203928.0,192197.0,CC[C@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O,Active,55.0,,,active antagonist,active antagonist,8.68291,-102.224,inactive,,0,active antagonist,9.37559,-99.9434,inconclusive antagonist,,-35.091,"Prestwick Chemical, Inc.",CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
378,144203929.0,667476.0,C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,Active,53.0,,,active antagonist,active antagonist,10.9311,-98.3033,inactive,,0,active antagonist,11.3588,-92.0331,inactive,,0,"Prestwick Chemical, Inc.",C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
393,144203944.0,7184.0,CCCCOC(=O)C1=CC=C(C=C1)O,Active,51.0,,,active antagonist,active antagonist,23.7101,-126.603,active agonist,18.8336,40.4193,active antagonist,26.6032,-100.432,inactive,,0,SigmaAldrich,CCCCOC(=O)c1ccc(O)cc1
396,144203947.0,7638.0,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,Active,49.0,,,active antagonist,active antagonist,10.9311,-68.7799,active agonist,11.3588,22.7963,active antagonist,7.16691,-42.979,inactive,,0,"Prestwick Chemical, Inc.",Oc1ccc(OCc2ccccc2)cc1
398,144203949.0,7699.0,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,Active,45.0,,,active antagonist,active antagonist,3.20134,-28.2375,inactive,,0,active antagonist,2.54292,-43.2726,inactive,,0,"Prestwick Chemical, Inc.",CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
417,144203968.0,8569.0,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,Active,54.0,,,active antagonist,active antagonist,9.02261,-98.0732,inactive,,0,active antagonist,9.37559,-92.6367,inactive,,0,"Prestwick Chemical, Inc.",COc1ccc(C(=O)c2ccccc2O)c(O)c1
430,144203981.0,54676537.0,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,Active,54.0,,,active antagonist,active antagonist,8.35601,-95.6073,inactive,,0,active antagonist,8.04141,-93.7649,inactive,,0,"Prestwick Chemical, Inc.",CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
434,144203985.0,3503.0,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,Active,52.0,,,active antagonist,active antagonist,14.6124,-103.471,inactive,,0,active antagonist,15.184,-96.6502,inactive,,0,Microsource,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
442,144203993.0,5284613.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,Active,71.0,,,active antagonist,active antagonist,0.0868291,-72.4114,inactive,,0,active antagonist,0.0804141,-74.2391,inconclusive agonist,,,"Prestwick Chemical, Inc.",C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
451,144204002.0,34458.0,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,Active,45.0,,,active antagonist,active antagonist,11.0946,-44.977,inactive,,0,active antagonist,12.4483,-38.7362,inactive,,0,"Prestwick Chemical, Inc.",COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
452,144204003.0,3371.0,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,Active,49.0,,,active antagonist,active antagonist,27.644,-119.621,active agonist,29.8493,39.4626,active antagonist,28.7255,-102.071,inactive,,0,BIOMOL,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
472,144204023.0,2391.0,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,Active,48.0,,,active antagonist,active antagonist,8.7418,-58.8149,inactive,,0,active antagonist,8.41267,-63.9105,inactive,,0,NIEHS,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
474,144204025.0,12456.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],Active,58.0,,,active antagonist,active antagonist,2.87255,-82.5217,inactive,,0,active antagonist,2.87255,-90.8473,inactive,,0,NIEHS,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
491,144204042.0,13764.0,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])O,Active,62.0,,,active antagonist,active antagonist,1.56715,-88.6633,inactive,,0,active antagonist,1.50815,-90.2327,inactive,,0,"Prestwick Chemical, Inc.",O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1
564,144204115.0,5284629.0,CCO[C@H]1[C@@H]([C@H]([C@H](O1)C(COCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4)O,Active,54.0,,,active antagonist,active antagonist,11.8032,-114.216,inactive,,0,active antagonist,10.9311,-119.348,inconclusive antagonist,8.51789,-28.1782,"Prestwick Chemical, Inc.",CCO[C@@H]1O[C@H](C(COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O
570,144204121.0,610479.0,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,Active,54.0,,,active antagonist,active antagonist,11.8832,-114.818,active agonist,20.3361,101.154,active antagonist,18.1246,-107.562,inactive,,0,Microsource,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
571,144204122.0,26596.0,CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Active,51.0,,,active antagonist,active antagonist,0.603021,-37.7892,inactive,,0,inconclusive antagonist,0.603021,-32.6874,inactive,,0,"Prestwick Chemical, Inc.",CCCCc1ccc2nc(NC(=O)OC)[nH]c2c1
620,144204171.0,4030.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Active,55.0,,,active antagonist,active antagonist,2.44718,-70.336,inactive,,0,active antagonist,2.35504,-68.5763,inactive,,0,"Prestwick Chemical, Inc.",COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
634,144204185.0,54677972.0,CC1=CC(=NO1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,Active,51.0,,,active antagonist,active antagonist,5.18466,-66.4078,inactive,,0,active antagonist,3.5476,-55.2761,inactive,,0,Microsource,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1
659,144204210.0,2082.0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Active,51.0,,,active antagonist,active antagonist,6.38752,-70.6378,inactive,,0,active antagonist,6.766,-64.5997,inactive,,0,"Prestwick Chemical, Inc.",CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
666,144204217.0,54677971.0,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,Active,52.0,,,active antagonist,active antagonist,8.35601,-82.8794,active agonist,4.52202,32.9225,inconclusive antagonist,6.38752,-48.2801,inactive,,0,"Prestwick Chemical, Inc.",CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
698,144204249.0,54580.0,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3(C2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,Active,48.0,,,active antagonist,active antagonist,9.02261,-57.5129,inactive,,0,active antagonist,8.04141,-51.2717,inactive,,0,"Prestwick Chemical, Inc.",CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
705,144204256.0,441336.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,Active,53.0,,,active antagonist,active antagonist,11.8032,-101.068,inactive,,0,active antagonist,12.0318,-96.9575,inactive,,0,"Prestwick Chemical, Inc.",C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
753,144204304.0,54680693.0,CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/C3=[N+](C4=C(C=C(C=C4)N(C)C)C=C3)C.CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/C3=[N+](C4=C(C=C(C=C4)N(C)C)C=C3)C.C1=CC=C2C(=C(C(=CC2=C1)C(=O)O)[O-])CC3=C(C(=CC4=CC=CC=C34)C(=O)O)[O-],Active,66.0,,,active antagonist,active antagonist,2.01991,-107.938,inactive,,0,active antagonist,2.09893,-111.881,inactive,,0,"Prestwick Chemical, Inc.",Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O
761,144204312.0,5284452.0,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O,Active,56.0,,,active antagonist,active antagonist,6.52711,-97.7869,inactive,,0,active antagonist,6.78246,-97.0429,inactive,,0,"Prestwick Chemical, Inc.",O.O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
782,144204333.0,60196270.0,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,Active,58.0,,,active antagonist,active antagonist,9.02261,-122.651,active agonist,7.4473,35.0428,active antagonist,10.5196,-107.073,inactive,,0,"Prestwick Chemical, Inc.",CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F
802,144204353.0,9940086.0,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5[C@@]6([C@@H](C(=CC=C6C(=N5)C=C1N2)C(=O)OC)C(=O)OC)C)C)CCC(=O)O)C(=C3C)CCC(=O)OC)C=C,Active,53.0,,,active antagonist,active antagonist,3.2713,-64.6375,active antagonist,19.2581,-60.0232,active antagonist,4.98946,-92.7883,inactive,,0,"Prestwick Chemical, Inc.",C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)O)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC
803,144204354.0,969516.0,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,Active,66.0,,,active antagonist,active antagonist,0.90838,-89.8877,inactive,,0,active antagonist,1.01922,-93.2992,active antagonist,18.1246,-58.2064,NIEHS,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
813,144204364.0,493570.0,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,Active,54.0,,,active antagonist,active antagonist,12.8312,-118.944,active agonist,33.4915,182.021,active antagonist,4.21632,-70.9076,inactive,,0,InterBioScreen,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
828,144204379.0,3969.0,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2,Active,51.0,,,active antagonist,active antagonist,27.0015,-139.75,active agonist,31.4814,38.5105,active antagonist,26.6032,-100.574,inactive,,0,SigmaAldrich,CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O
829,144204380.0,8691.0,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Active,50.0,,,active antagonist,active antagonist,12.533,-85.0183,active antagonist,28.0578,-38.9726,active antagonist,16.3953,-101.806,inactive,,0,SigmaAldrich,Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1
832,144204383.0,2406.0,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,Active,63.0,,,active antagonist,active antagonist,1.33332,-87.8481,active agonist,29.8493,55.7293,active antagonist,1.28312,-83.6934,inactive,,0,SigmaAldrich,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
838,144204389.0,4764.0,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Active,50.0,,,active antagonist,active antagonist,23.7101,-124.548,active agonist,27.644,131.716,active antagonist,25.1151,-86.3347,inactive,,0,SigmaAldrich,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
856,144204407.0,26248.0,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,Active,47.0,,,active antagonist,active antagonist,20.6405,-81.1866,inactive,,0,active antagonist,15.8465,-84.8384,inactive,,0,Microsource,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O
