chemical name,InChIKey,standardised_smiles,source,mitochondrial toxic,MW,LogP,Crippen MR,NHD,NHA,TPSA,HA Count
MITOTANE,JWBOIMRXGHLCPP-UHFFFAOYSA-N,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,tox21_mmp,toxic,320.04600000000005,5.929000000000002,80.24100000000003,0,0,0.0,18
EBSELEN,DYEFUKCXAQOFHX-UHFFFAOYSA-N,O=c1c2ccccc2[se]n1-c1ccccc1,tox21_mmp,toxic,274.181,2.0477,66.48500000000001,0,2,22.0,16
GENISTEIN,TZBJGXHYKVUXJN-UHFFFAOYSA-N,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,tox21_mmp,toxic,270.24,2.576800000000001,72.91440000000001,3,5,90.9,20
IDAZOXAN,HPMRFMKYPGXPEP-UHFFFAOYSA-N,c1ccc2c(c1)OCC(C1=NCCN1)O2,tox21_mmp,toxic,204.22899999999996,0.8280999999999994,56.65770000000002,1,4,42.849999999999994,15
LEFLUNOMIDE,VHOGYURTWQBHIL-UHFFFAOYSA-N,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,tox21_mmp,toxic,270.21,3.2541200000000012,60.63720000000001,1,3,55.13,19
NOCODAZOLE,KYRVNWMVYQXFEU-UHFFFAOYSA-N,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1,tox21_mmp,toxic,301.327,3.0337000000000005,79.87290000000002,2,5,84.07999999999998,21
NITRENDIPINE,PVHUJELLJLJGLN-UHFFFAOYSA-N,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,tox21_mmp,toxic,360.36600000000004,2.5657000000000005,93.02210000000004,1,7,107.77000000000001,26
NIFLUMIC ACID,JZFPYUNJRRFVQU-UHFFFAOYSA-N,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,tox21_mmp,toxic,282.221,3.542200000000001,65.923,2,3,62.22,20
NIMESULIDE,HYWYRSMBCFDLJT-UHFFFAOYSA-N,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,tox21_mmp,toxic,308.315,2.7586000000000013,78.07890000000003,1,5,98.54,21
NICLOSAMIDE,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,tox21_mmp,toxic,327.12300000000005,3.859500000000001,79.17640000000002,2,4,92.47,21
MASOPROCOL,HCZKYJDFEPMADG-TXEJJXNPSA-N,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,tox21_mmp,toxic,302.37,3.5664000000000033,85.27920000000002,4,4,80.92,22
NICARDIPINE,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,tox21_mmp,toxic,479.5330000000002,3.677800000000002,130.1241,1,8,111.00999999999999,35
MEPYRAMINE,YECBIJXISLIIDS-UHFFFAOYSA-N,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,tox21_mmp,toxic,285.391,2.658400000000001,86.83500000000005,0,4,28.6,21
PIROXICAM,QYSPLQLAKJAUJT-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,tox21_mmp,toxic,331.35300000000007,1.5809999999999997,83.80630000000004,2,5,99.6,23
PHENYLBUTAZONE,VYMDGNCVAMGZFE-UHFFFAOYSA-N,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,tox21_mmp,toxic,308.3810000000001,3.7878000000000025,90.87100000000005,0,2,40.620000000000005,23
RALOXIFENE HYDROCHLORIDE,BKXVVCILCIUCLG-UHFFFAOYSA-N,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,tox21_mmp,toxic,510.0550000000001,6.497000000000006,143.49909999999986,2,6,70.0,35
RESVERATROL,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,tox21_mmp,toxic,228.247,2.9738000000000016,66.80640000000002,3,3,60.69,17
129-56-6,ACPOUJIDANTYHO-UHFFFAOYSA-N,O=C1c2ccccc2-c2n[nH]c3cccc1c23,tox21_mmp,toxic,220.231,2.774300000000001,64.96220000000001,1,2,45.75,17
SPIPERONE,DKGZKTPJOSAWFA-UHFFFAOYSA-N,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,tox21_mmp,toxic,395.47800000000007,3.217100000000001,110.30020000000005,1,4,52.650000000000006,29
TYRPHOSTIN 23,VTJXFTPMFYAJJU-UHFFFAOYSA-N,N#CC(C#N)=Cc1ccc(O)c(O)c1,tox21_mmp,toxic,186.17,1.52836,48.97460000000002,2,4,88.04,14
IN20I6UNU6,YNVGQYHLRCDXFQ-JBKQDOAHSA-N,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,tox21_mmp,toxic,284.443,4.313500000000004,85.48580000000005,1,1,20.23,21
DTXSID7041752,DHZBEENLJMYSHQ-OBDNUKKESA-N,C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1,tox21_mmp,toxic,196.20199999999997,0.6436,45.20800000000003,0,4,52.60000000000001,14
DICUMAROL,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,tox21_mmp,toxic,336.29900000000004,2.9014000000000006,91.10360000000003,2,6,100.88,25
HEXESTROL,PBBGSZCBWVPOOL-HDICACEKSA-N,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,tox21_mmp,toxic,270.37199999999996,4.785200000000004,82.27760000000005,2,2,40.46,20
DIENESTROL,NFDFQCUYFHCNBW-SCGPFSFSSA-N,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,tox21_mmp,toxic,266.34,4.604600000000004,83.51560000000003,2,2,40.46,20
BUTYLPARABEN,QFOHBWFCKVYLES-UHFFFAOYSA-N,CCCCOC(=O)c1ccc(O)cc1,tox21_mmp,toxic,194.23,2.349100000000001,53.297300000000035,1,3,46.53,14
MONOBENZONE,VYQNWZOUAUKGHI-UHFFFAOYSA-N,Oc1ccc(OCc2ccccc2)cc1,tox21_mmp,toxic,200.23700000000002,2.9712000000000014,58.880800000000036,1,2,29.46,15
BENZONATATE,MAFMQEKGGFWBAB-UHFFFAOYSA-N,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,tox21_mmp,toxic,603.7500000000003,2.8346000000000036,158.55019999999968,1,12,121.40000000000003,42
DIOXYBENZONE,MEZZCSHVIGVWFI-UHFFFAOYSA-N,COc1ccc(C(=O)c2ccccc2O)c(O)c1,tox21_mmp,toxic,244.246,2.3374000000000015,66.19810000000003,2,4,66.76,18
ACENOCOUMAROL,VABCILAOYCMVPS-UHFFFAOYSA-N,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,tox21_mmp,toxic,353.33000000000004,3.517800000000003,94.38620000000004,1,6,110.65,26
GOSSYPOL,QBKSWRVVCFFDOT-UHFFFAOYSA-N,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,tox21_mmp,toxic,518.5620000000004,6.382240000000009,145.3057999999999,6,8,155.52,38
PROSCILLARIDIN,MYEJFUXQJGHEQK-ALRJYLEOSA-N,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,tox21_mmp,toxic,530.6580000000004,3.013800000000002,138.11020000000002,4,8,129.59,38
CANADINE,VZTUIEROBZXUFA-UHFFFAOYSA-N,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4,tox21_mmp,toxic,339.3910000000001,3.088000000000002,92.67000000000006,0,5,40.160000000000004,25
FLUFENAMIC ACID,LPEPZBJOKDYZAD-UHFFFAOYSA-N,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,tox21_mmp,toxic,281.23299999999995,4.1472000000000016,68.12800000000001,2,2,49.33,20
BISACODYL,KHOITXIGCFIULA-UHFFFAOYSA-N,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,tox21_mmp,toxic,361.39700000000005,4.112400000000003,100.68400000000003,0,5,65.49000000000001,27
BERBERINE CHLORIDE,VKJGBAJNNALVAV-UHFFFAOYSA-M,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],tox21_mmp,toxic,371.82000000000005,0.10029999999999983,92.51000000000005,0,4,40.8,26
AKABAR,YCWSUKQGVSGXJO-UHFFFAOYSA-N,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,tox21_mmp,toxic,275.21999999999997,1.6573,68.52940000000001,2,6,117.97,20
DTXSID7023697,ULLNJSBQMBKOJH-SCNPRXQJSA-N,CCO[C@@H]1O[C@H](C(COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O,tox21_mmp,toxic,478.58500000000015,4.496300000000005,132.42980000000003,1,6,66.38000000000001,35
TOLFENAMIC ACID,YEZNLOUZAIOMLT-UHFFFAOYSA-N,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,tox21_mmp,toxic,261.70799999999997,4.090220000000002,72.87300000000003,2,2,49.33,18
PARBENDAZOLE,YRWLZFXJFBZBEY-UHFFFAOYSA-N,CCCCc1ccc2nc(NC(=O)OC)[nH]c2c1,tox21_mmp,toxic,247.298,3.083800000000001,70.73340000000003,2,3,67.00999999999999,18
MEBENDAZOLE,OPXLLQIJSORQAM-UHFFFAOYSA-N,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,tox21_mmp,toxic,295.298,2.972200000000001,81.99590000000002,2,4,84.07999999999998,22
ISOXICAM,YYUAYBYLJSNDCX-UHFFFAOYSA-N,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,tox21_mmp,toxic,335.3410000000001,1.48242,80.80930000000004,2,6,112.74,23
ALBENDAZOLE,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,tox21_mmp,toxic,265.33799999999997,3.2433000000000005,73.13640000000002,2,4,67.00999999999999,18
TENOXICAM,LZNWYQJJBLGYLT-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,tox21_mmp,toxic,337.38200000000006,1.6425,81.68330000000003,2,6,99.6,22
FLUTICASONE PROPIPONATE,WMWTYOKRWGGJOA-ZHLGSTKJSA-N,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,tox21_mmp,toxic,500.57900000000024,4.430000000000004,120.86780000000005,1,6,80.67,34
MOMETASONE FUROATE,WOFMFGQZHJDGCX-ZULDAHANSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,tox21_mmp,toxic,521.4370000000004,4.869200000000005,130.22830000000002,1,6,93.81,35
PYRVINIUM PAMOATE,OOPDAHSJBRZRPH-UHFFFAOYSA-L,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,tox21_mmp,toxic,1151.4209999999996,12.338479999999983,349.93660000000096,2,10,144.82,87
QUERCETIN DIHYDRATE,GMGIWEZSKCNYSW-UHFFFAOYSA-N,O.O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,tox21_mmp,toxic,338.2680000000001,0.33859999999999985,83.47159999999998,5,7,194.35999999999996,24
DTXSID1045584,MGCCHNLNRBULBU-QGLAHWQJSA-N,CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,tox21_mmp,toxic,491.46300000000014,0.4923200000000007,115.6997,8,9,175.4,34
BPD-MA(SUB D),NYCOCMNWCGUKJF-ZSFNYQMMSA-N,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)O)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,tox21_mmp,toxic,718.8070000000004,6.719240000000006,201.19519999999963,3,9,173.56,53
CURCUMIN,VFLDPWHFBUODDF-FCXRPNKRSA-N,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,tox21_mmp,toxic,368.3850000000001,3.3699000000000026,102.01660000000001,2,6,93.06000000000002,27
RIBOFLAVIN,AUNGANRZJHBGPY-SCRDCRAPSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,tox21_mmp,toxic,376.36900000000014,-1.7235599999999989,95.62089999999999,5,9,161.56,27
TOMELUKAST,MWYHLEQJTQJHSS-UHFFFAOYSA-N,CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O,tox21_mmp,toxic,318.3770000000001,2.462100000000001,84.71700000000003,2,6,100.99000000000001,23
PHENAZOPYRIDINE HYDROCHLORIDE,QQBPIHBUCMDKFG-UHFFFAOYSA-N,Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1,tox21_mmp,toxic,249.705,3.0832000000000015,70.92780000000002,2,5,89.64999999999999,17
BITHIONOL,JFIOVJDNOJYLKP-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,tox21_mmp,toxic,356.057,5.862600000000001,80.37660000000001,2,3,40.46,19
PHENOLPHTHALEIN,KJFMBFZCATUALV-UHFFFAOYSA-N,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,tox21_mmp,toxic,318.32800000000003,3.560100000000002,87.95310000000002,2,4,66.76,24
DIACEREIN,TYNLGDBUJLVSMA-UHFFFAOYSA-N,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,tox21_mmp,toxic,368.2970000000001,2.0107999999999997,89.32630000000005,1,7,124.04000000000002,27
RAPAMYCIN,QFJCIRLUMZQUOT-LAOSHSCVSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,tox21_mmp,toxic,914.187,6.180600000000006,245.13739999999908,3,13,195.42999999999995,65
PODOPHYLLOTOXIN,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,tox21_mmp,toxic,414.41000000000025,2.4092000000000002,103.40480000000004,1,8,92.68,30
DIFLORASONE DIACETATE,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,tox21_mmp,toxic,494.53100000000023,2.9853000000000014,119.31780000000005,1,7,106.97000000000001,35
DAUNORUBICIN,STQGQHZAVUOBTE-VGBVRHCVSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,tox21_mmp,toxic,527.5260000000003,1.0288999999999997,130.34259999999998,5,11,185.84,38
BROMOCRIPTINE,OZVBMTJYIDMWIL-AYFBDAFISA-N,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,tox21_mmp,toxic,654.6059999999999,3.192800000000001,164.15819999999968,3,6,118.21,43
SPIRAMIDE,FJUKDAZEABGEIH-UHFFFAOYSA-N,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,tox21_mmp,toxic,383.4670000000001,3.0231000000000012,106.84770000000006,1,4,44.81,28
OLVANIL,OPZKBPQVWDSATI-KHPPLWFESA-N,CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,tox21_mmp,toxic,417.63400000000007,7.054500000000009,125.95750000000007,2,3,58.56,30
FULVESTRANT,VWUXBMIQPBEWFH-WCCTWKNTSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,tox21_mmp,toxic,606.7820000000003,8.682600000000003,152.6519999999998,2,3,63.519999999999996,41
COLCHICINE,IAKHMKGGTNLKSZ-INIZCTEOSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,tox21_mmp,toxic,399.4430000000002,2.871600000000001,109.23470000000006,1,6,83.09,29
MIFEPRISTONE,VKHAHZOOUSRJNA-GCNJZUOMSA-N,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,tox21_mmp,toxic,429.6040000000001,5.406500000000006,129.4318,1,3,40.54,32
METANIXIN,HUIJQYKRBFBVAO-UHFFFAOYSA-N,Cc1cccc(C)c1Nc1ncccc1C(=O)O,tox21_mmp,toxic,242.27800000000002,3.1402400000000004,70.39500000000002,2,3,62.22,18
ZERANOL,DWTTZBARDOXEAM-GXTWGEPZSA-N,C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,tox21_mmp,toxic,322.401,3.290800000000003,86.67890000000003,3,5,86.99,23
102-77-2,MHKLKWCYGIBEQF-UHFFFAOYSA-N,c1ccc2sc(SN3CCOCC3)nc2c1,tox21_mmp,toxic,252.36399999999995,2.6356,67.86900000000001,0,5,25.36,16
CARBARYL,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,tox21_mmp,toxic,201.225,2.5580000000000007,59.03170000000003,1,2,38.33,15
6898-97-1,RGLYKWWBQGJZGM-UHFFFAOYSA-N,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,tox21_mmp,toxic,268.356,4.828600000000005,83.60960000000004,2,2,40.46,20
FENRETINIDE,AKJHMTWEGVYYSE-FXILSDISSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,tox21_mmp,toxic,391.55500000000023,6.8623000000000065,122.86250000000004,2,2,49.33,29
NITAZOXANIDE,YQNQNVDNTFHQSW-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,tox21_mmp,toxic,307.28700000000003,2.2289000000000003,74.47260000000001,1,7,111.43,21
NELFINAVIR MESYLATE,NQHXCOAXSHGTIA-SKXNDZRYSA-N,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,tox21_mmp,toxic,663.9030000000001,4.251620000000003,178.06509999999952,5,8,156.27,45
DIGOXIN,LTMHDMANZUZIPE-PUGKRICDSA-N,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,tox21_mmp,toxic,780.9490000000002,2.218100000000003,192.61079999999941,6,14,203.05999999999997,55
"PHENOL, 4-ISONONYL-",JSFITYFUKSFPBZ-UHFFFAOYSA-N,CC(C)CCCCCCc1ccc(O)cc1,tox21_mmp,toxic,220.35600000000002,4.541200000000005,69.73380000000004,1,1,20.23,16
PROPYLPARABEN,QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)c1ccc(O)cc1,tox21_mmp,toxic,180.20299999999997,1.9589999999999999,48.68030000000003,1,3,46.53,13
DOMIPHEN BROMIDE,OJIYIVCMRYCWSE-UHFFFAOYSA-M,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],tox21_mmp,toxic,414.472,3.0667000000000018,105.6234000000001,0,1,9.23,25
TRITON X-100,JYCQQPHGFMYQCF-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,tox21_mmp,toxic,250.38199999999998,3.7715000000000023,76.12080000000006,1,2,29.46,18
CLOFENOTANE,YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,tox21_mmp,toxic,354.491,6.495500000000002,85.03700000000002,0,0,0.0,19
CRYSTAL VIOLET,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],tox21_mmp,toxic,407.98900000000003,1.4636000000000002,122.95540000000004,0,2,9.49,29
PHENOTHIAZINE,WJFKNYWRSNBZNX-UHFFFAOYSA-N,c1ccc2c(c1)Nc1ccccc1S2,tox21_mmp,toxic,199.278,3.894800000000001,60.289700000000025,1,2,12.03,14
"2,4,6-TRIBROMOPHENOL",BSWWXRFVMJHFBN-UHFFFAOYSA-N,Oc1c(Br)cc(Br)cc1Br,tox21_mmp,toxic,330.801,3.6797000000000004,51.20680000000001,1,1,20.23,10
HEXACHLOROPHENE,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,tox21_mmp,toxic,406.90700000000004,6.609000000000001,89.07959999999999,2,2,40.46,21
"2,4,5-TRICHLOROPHENOL",LHJGJYXLEPZJPM-UHFFFAOYSA-N,Oc1cc(Cl)c(Cl)cc1Cl,tox21_mmp,toxic,197.448,3.3524000000000003,43.13680000000001,1,1,20.23,10
DICHLOROPHEN,MDNWOSOZYLHTCG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,tox21_mmp,toxic,269.127,3.9954000000000023,69.03960000000002,2,2,40.46,17
4-CHLORO-3-METHYLPHENOL,CFKMVGJGLGKFKI-UHFFFAOYSA-N,Cc1cc(O)ccc1Cl,tox21_mmp,toxic,142.58499999999998,2.3540200000000002,37.853800000000014,1,1,20.23,9
DANTHRON,QBPFLULOKWLNNW-UHFFFAOYSA-N,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,tox21_mmp,toxic,240.21399999999997,1.873199999999999,63.07860000000002,2,4,74.6,18
SAQUINAVIR MESYLATE,IRHXGOXEBNJUSN-YOXDLBRISA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,tox21_mmp,toxic,766.9620000000001,2.5964000000000036,205.6863999999995,6,9,221.11999999999998,54
