chemical name,InChIKey,standardised_smiles,source,mitochondrial toxic
SULFAMETHAZINE,ASWVTGNCAZCNNR-UHFFFAOYSA-N,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,chembl_mito_safe_drugs,non-toxic
METHARBITAL,FWJKNZONDWOGMI-UHFFFAOYSA-N,CCC1(CC)C(=O)NC(=O)N(C)C1=O,chembl_mito_safe_drugs,non-toxic
CHLORDIAZEPOXIDE,BUCORZSTKDOEKQ-UHFFFAOYSA-N,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,chembl_mito_safe_drugs,non-toxic
SULFISOXAZOLE,NHUHCSRWZMLRLA-UHFFFAOYSA-N,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,chembl_mito_safe_drugs,non-toxic
BUTALBITAL,UZVHFVZFNXBMQJ-UHFFFAOYSA-N,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,chembl_mito_safe_drugs,non-toxic
ONDANSETRON,FELGMEQIXOGIFQ-UHFFFAOYSA-N,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,chembl_mito_safe_drugs,non-toxic
ETRETINATE,HQMNCQVAMBCHCO-DJRRULDNSA-N,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,chembl_mito_safe_drugs,non-toxic
DRONABINOL,CYQFCXCEBYINGO-IAGOWNOFSA-N,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,chembl_mito_safe_drugs,non-toxic
GLYBURIDE,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,chembl_mito_safe_drugs,non-toxic
LANSOPRAZOLE,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,chembl_mito_safe_drugs,non-toxic
CROMOLYN SODIUM,VLARUOGDXDTHEH-UHFFFAOYSA-L,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],chembl_mito_safe_drugs,non-toxic
ETORICOXIB,MNJVRJDLRVPLFE-UHFFFAOYSA-N,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,chembl_mito_safe_drugs,non-toxic
PIRENZEPINE,RMHMFHUVIITRHF-UHFFFAOYSA-N,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,chembl_mito_safe_drugs,non-toxic
AGOMELATINE,YJYPHIXNFHFHND-UHFFFAOYSA-N,COc1ccc2cccc(CCNC(C)=O)c2c1,chembl_mito_safe_drugs,non-toxic
CHLORPROPAMIDE,RKWGIWYCVPQPMF-UHFFFAOYSA-N,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,chembl_mito_safe_drugs,non-toxic
PINDOLOL,JZQKKSLKJUAGIC-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2[nH]ccc12,chembl_mito_safe_drugs,non-toxic
OZAGREL,SHZKQBHERIJWAO-AATRIKPKSA-N,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,chembl_mito_safe_drugs,non-toxic
LOMUSTINE,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,O=NN(CCCl)C(=O)NC1CCCCC1,chembl_mito_safe_drugs,non-toxic
FLUNITRAZEPAM,PPTYJKAXVCCBDU-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,chembl_mito_safe_drugs,non-toxic
PHENYLBUTAZONE,VYMDGNCVAMGZFE-UHFFFAOYSA-N,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,chembl_mito_safe_drugs,non-toxic
ISOTRETINOIN,SHGAZHPCJJPHSC-XFYACQKRSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,chembl_mito_safe_drugs,non-toxic
ILOPERIDONE,XMXHEBAFVSFQEX-UHFFFAOYSA-N,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,chembl_mito_safe_drugs,non-toxic
REBOXETINE,CBQGYUDMJHNJBX-UHFFFAOYSA-N,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,chembl_mito_safe_drugs,non-toxic
DEXTROTHYROXINE,XUIIKFGFIJCVMT-GFCCVEGCSA-N,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,chembl_mito_safe_drugs,non-toxic
GRISEOFULVIN,DDUHZTYCFQRHIY-RBHXEPJQSA-N,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,chembl_mito_safe_drugs,non-toxic
PERPHENAZINE,RGCVKNLCSQQDEP-UHFFFAOYSA-N,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,chembl_mito_safe_drugs,non-toxic
OXAZEPAM,ADIMAYPTOBDMTL-UHFFFAOYSA-N,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,chembl_mito_safe_drugs,non-toxic
TRIFLUPROMAZINE,XSCGXQMFQXDFCW-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,chembl_mito_safe_drugs,non-toxic
LORAZEPAM,DIWRORZWFLOCLC-UHFFFAOYSA-N,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,chembl_mito_safe_drugs,non-toxic
AMPRENAVIR,YMARZQAQMVYCKC-OEMFJLHTSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,chembl_mito_safe_drugs,non-toxic
TRIAMTERENE,FNYLWPVRPXGIIP-UHFFFAOYSA-N,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,chembl_mito_safe_drugs,non-toxic
ETHCHLORVYNOL,ZEHYJZXQEQOSON-AATRIKPKSA-N,C#CC(O)(/C=C/Cl)CC,chembl_mito_safe_drugs,non-toxic
MARALIXIBAT CHLORIDE,POMVPJBWDDJCMP-RUKDTIIFSA-M,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O.[Cl-],chembl_mito_safe_drugs,non-toxic
TOLOXATONE,MXUNKHLAEDCYJL-UHFFFAOYSA-N,Cc1cccc(N2CC(CO)OC2=O)c1,chembl_mito_safe_drugs,non-toxic
NALTREXONE,DQCKKXVULJGBQN-XFWGSAIBSA-N,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,chembl_mito_safe_drugs,non-toxic
MOXONIDINE,WPNJAUFVNXKLIM-UHFFFAOYSA-N,COc1nc(C)nc(Cl)c1NC1=NCCN1,chembl_mito_safe_drugs,non-toxic
MACIMORELIN,UJVDJAPJQWZRFR-DHIUTWEWSA-N,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,chembl_mito_safe_drugs,non-toxic
LOXOPROFEN,YMBXTVYHTMGZDW-UHFFFAOYSA-N,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,chembl_mito_safe_drugs,non-toxic
DEXTROAMPHETAMINE,KWTSXDURSIMDCE-QMMMGPOBSA-N,C[C@H](N)Cc1ccccc1,chembl_mito_safe_drugs,non-toxic
IBUDILAST,ZJVFLBOZORBYFE-UHFFFAOYSA-N,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,chembl_mito_safe_drugs,non-toxic
SAQUINAVIR MESYLATE,IRHXGOXEBNJUSN-YOXDLBRISA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,chembl_mito_safe_drugs,non-toxic
PENICILLIN V,BPLBGHOLXOTWMN-MBNYWOFBSA-N,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl_mito_safe_drugs,non-toxic
PRANLUKAST,NBQKINXMPLXUET-UHFFFAOYSA-N,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,chembl_mito_safe_drugs,non-toxic
THIABENDAZOLE,WJCNZQLZVWNLKY-UHFFFAOYSA-N,c1ccc2[nH]c(-c3cscn3)nc2c1,chembl_mito_safe_drugs,non-toxic
SUMATRIPTAN,KQKPFRSPSRPDEB-UHFFFAOYSA-N,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,chembl_mito_safe_drugs,non-toxic
BETAMETHASONE,UREBDLICKHMUKA-DVTGEIKXSA-N,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,chembl_mito_safe_drugs,non-toxic
VORICONAZOLE,BCEHBSKCWLPMDN-MGPLVRAMSA-N,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,chembl_mito_safe_drugs,non-toxic
TRIAZOLAM,JOFWLTCLBGQGBO-UHFFFAOYSA-N,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,chembl_mito_safe_drugs,non-toxic
CLONIDINE,GJSURZIOUXUGAL-UHFFFAOYSA-N,Clc1cccc(Cl)c1NC1=NCCN1,chembl_mito_safe_drugs,non-toxic
REMOXIPRIDE,GUJRSXAPGDDABA-NSHDSACASA-N,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,chembl_mito_safe_drugs,non-toxic
OXYCODONE,BRUQQQPBMZOVGD-XFKAJCMBSA-N,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,chembl_mito_safe_drugs,non-toxic
ALPRAZOLAM,VREFGVBLTWBCJP-UHFFFAOYSA-N,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl_mito_safe_drugs,non-toxic
ALENDRONATE SODIUM,CAKRAHQRJGUPIG-UHFFFAOYSA-M,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],chembl_mito_safe_drugs,non-toxic
FENTANYL CITRATE,IVLVTNPOHDFFCJ-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,chembl_mito_safe_drugs,non-toxic
PRAVASTATIN SODIUM,VWBQYTRBTXKKOG-IYNICTALSA-M,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],chembl_mito_safe_drugs,non-toxic
DALFAMPRIDINE,NUKYPUAOHBNCPY-UHFFFAOYSA-N,Nc1ccncc1,chembl_mito_safe_drugs,non-toxic
TRIMETHADIONE,IRYJRGCIQBGHIV-UHFFFAOYSA-N,CN1C(=O)OC(C)(C)C1=O,chembl_mito_safe_drugs,non-toxic
METHSUXIMIDE,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,CN1C(=O)CC(C)(c2ccccc2)C1=O,chembl_mito_safe_drugs,non-toxic
SULFAPYRIDINE,GECHUMIMRBOMGK-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,chembl_mito_safe_drugs,non-toxic
MESALAMINE,KBOPZPXVLCULAV-UHFFFAOYSA-N,Nc1ccc(O)c(C(=O)O)c1,chembl_mito_safe_drugs,non-toxic
SILODOSIN,PNCPYILNMDWPEY-QGZVFWFLSA-N,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,chembl_mito_safe_drugs,non-toxic
TAMIBAROTENE,MUTNCGKQJGXKEM-UHFFFAOYSA-N,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,chembl_mito_safe_drugs,non-toxic
PHENINDIONE,NFBAXHOPROOJAW-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)C1c1ccccc1,chembl_mito_safe_drugs,non-toxic
ANISINDIONE,XRCFXMGQEVUZFC-UHFFFAOYSA-N,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,chembl_mito_safe_drugs,non-toxic
ALBUTEROL,NDAUXUAQIAJITI-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,chembl_mito_safe_drugs,non-toxic
THIOGUANINE,WYWHKKSPHMUBEB-UHFFFAOYSA-N,Nc1nc2[nH]cnc2c(=S)[nH]1,chembl_mito_safe_drugs,non-toxic
PROCHLORPERAZINE,WIKYUJGCLQQFNW-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,chembl_mito_safe_drugs,non-toxic
ACETOHYDROXAMIC ACID,RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,chembl_mito_safe_drugs,non-toxic
PRALIDOXIME CHLORIDE,HIGSLXSBYYMVKI-UHFFFAOYSA-N,C[n+]1ccccc1/C=N/O.[Cl-],chembl_mito_safe_drugs,non-toxic
TADALAFIL,WOXKDUGGOYFFRN-IIBYNOLFSA-N,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,chembl_mito_safe_drugs,non-toxic
NATEGLINIDE,OELFLUMRDSZNSF-OFLPRAFFSA-N,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,chembl_mito_safe_drugs,non-toxic
TAMOXIFEN CITRATE,FQZYTYWMLGAPFJ-OQKDUQJOSA-N,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,chembl_mito_safe_drugs,non-toxic
FENOTEROL,LSLYOANBFKQKPT-UHFFFAOYSA-N,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,chembl_mito_safe_drugs,non-toxic
ESTAZOLAM,CDCHDCWJMGXXRH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,chembl_mito_safe_drugs,non-toxic
PHENSUXIMIDE,WLWFNJKHKGIJNW-UHFFFAOYSA-N,CN1C(=O)CC(c2ccccc2)C1=O,chembl_mito_safe_drugs,non-toxic
GEPIRONE,QOIGKGMMAGJZNZ-UHFFFAOYSA-N,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,chembl_mito_safe_drugs,non-toxic
GRANISETRON,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,chembl_mito_safe_drugs,non-toxic
LUMEFANTRINE,DYLGFOYVTXJFJP-MYYYXRDXSA-N,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,chembl_mito_safe_drugs,non-toxic
TOLAZAMIDE,OUDSBRTVNLOZBN-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,chembl_mito_safe_drugs,non-toxic
TERBINAFINE,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,chembl_mito_safe_drugs,non-toxic
ENOXACIN,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,chembl_mito_safe_drugs,non-toxic
PRIMAQUINE PHOSPHATE,GJOHLWZHWQUKAU-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O,chembl_mito_safe_drugs,non-toxic
LOXAPINE,XJGVXQDUIWGIRW-UHFFFAOYSA-N,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,chembl_mito_safe_drugs,non-toxic
SULFINPYRAZONE,MBGGBVCUIVRRBF-UHFFFAOYSA-N,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,chembl_mito_safe_drugs,non-toxic
EZOGABINE,PCOBBVZJEWWZFR-UHFFFAOYSA-N,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,chembl_mito_safe_drugs,non-toxic
CHLOROTHIAZIDE,JBMKAUGHUNFTOL-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,chembl_mito_safe_drugs,non-toxic
POMALIDOMIDE,UVSMNLNDYGZFPF-UHFFFAOYSA-N,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,chembl_mito_safe_drugs,non-toxic
OXAMNIQUINE,XCGYUJZMCCFSRP-UHFFFAOYSA-N,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,chembl_mito_safe_drugs,non-toxic
BENPERIDOL,FEBOTPHFXYHVPL-UHFFFAOYSA-N,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,chembl_mito_safe_drugs,non-toxic
MEPHENYTOIN,GMHKMTDVRCWUDX-UHFFFAOYSA-N,CCC1(c2ccccc2)NC(=O)N(C)C1=O,chembl_mito_safe_drugs,non-toxic
CINNARIZINE,DERZBLKQOCDDDZ-JLHYYAGUSA-N,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,chembl_mito_safe_drugs,non-toxic
TRANEXAMIC ACID,GYDJEQRTZSCIOI-UHFFFAOYSA-N,NC[C@H]1CC[C@H](C(=O)O)CC1,chembl_mito_safe_drugs,non-toxic
METOLAZONE,AQCHWTWZEMGIFD-UHFFFAOYSA-N,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,chembl_mito_safe_drugs,non-toxic
FAMCICLOVIR,GGXKWVWZWMLJEH-UHFFFAOYSA-N,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,chembl_mito_safe_drugs,non-toxic
LACTULOSE,JCQLYHFGKNRPGE-FCVZTGTOSA-N,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,chembl_mito_safe_drugs,non-toxic
SAFINAMIDE MESYLATE,YKOCHIUQOBQIAC-YDALLXLXSA-N,CS(=O)(=O)O.C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,chembl_mito_safe_drugs,non-toxic
FAMOTIDINE,XUFQPHANEAPEMJ-UHFFFAOYSA-N,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,chembl_mito_safe_drugs,non-toxic
DEXMETHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG-OJERSXHUSA-N,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl,chembl_mito_safe_drugs,non-toxic
CHLORPROTHIXENE,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,chembl_mito_safe_drugs,non-toxic
PHENACEMIDE,XPFRXWCVYUEORT-UHFFFAOYSA-N,NC(=O)NC(=O)Cc1ccccc1,chembl_mito_safe_drugs,non-toxic
CEFDINIR,RTXOFQZKPXMALH-GHXIOONMSA-N,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,chembl_mito_safe_drugs,non-toxic
LONAFARNIB,DHMTURDWPRKSOA-RUZDIDTESA-N,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,chembl_mito_safe_drugs,non-toxic
DELAVIRDINE MESYLATE,MEPNHSOMXMALDZ-UHFFFAOYSA-N,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,chembl_mito_safe_drugs,non-toxic
DIETHYLCARBAMAZINE CITRATE,PGNKBEARDDELNB-UHFFFAOYSA-N,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,chembl_mito_safe_drugs,non-toxic
LACOSAMIDE,VPPJLAIAVCUEMN-GFCCVEGCSA-N,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,chembl_mito_safe_drugs,non-toxic
BISACODYL,KHOITXIGCFIULA-UHFFFAOYSA-N,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,chembl_mito_safe_drugs,non-toxic
CHLOROQUINE PHOSPHATE,QKICWELGRMTQCR-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,chembl_mito_safe_drugs,non-toxic
CYCLOTHIAZIDE,BOCUKUHCLICSIY-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,chembl_mito_safe_drugs,non-toxic
TEMAZEPAM,SEQDDYPDSLOBDC-UHFFFAOYSA-N,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,chembl_mito_safe_drugs,non-toxic
PRAZEPAM,MWQCHHACWWAQLJ-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,chembl_mito_safe_drugs,non-toxic
HALAZEPAM,WYCLKVQLVUQKNZ-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,chembl_mito_safe_drugs,non-toxic
PENTOBARBITAL SODIUM,QGMRQYFBGABWDR-UHFFFAOYSA-M,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+],chembl_mito_safe_drugs,non-toxic
MESNA,XOGTZOOQQBDUSI-UHFFFAOYSA-M,O=S(=O)([O-])CCS.[Na+],chembl_mito_safe_drugs,non-toxic
MEPROBAMATE,NPPQSCRMBWNHMW-UHFFFAOYSA-N,CCCC(C)(COC(N)=O)COC(N)=O,chembl_mito_safe_drugs,non-toxic
GUAIFENESIN,HSRJKNPTNIJEKV-UHFFFAOYSA-N,COc1ccccc1OCC(O)CO,chembl_mito_safe_drugs,non-toxic
FENOFIBRIC ACID,MQOBSOSZFYZQOK-UHFFFAOYSA-N,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,chembl_mito_safe_drugs,non-toxic
TIPIRACIL HYDROCHLORIDE,KGHYQYACJRXCAT-UHFFFAOYSA-N,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,chembl_mito_safe_drugs,non-toxic
LOSARTAN POTASSIUM,OXCMYAYHXIHQOA-UHFFFAOYSA-N,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],chembl_mito_safe_drugs,non-toxic
LORATADINE,JCCNYMKQOSZNPW-UHFFFAOYSA-N,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,chembl_mito_safe_drugs,non-toxic
EBASTINE,MJJALKDDGIKVBE-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,chembl_mito_safe_drugs,non-toxic
CLOBAZAM,CXOXHMZGEKVPMT-UHFFFAOYSA-N,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,chembl_mito_safe_drugs,non-toxic
CLAVULANATE POTASSIUM,ABVRVIZBZKUTMK-JSYANWSFSA-M,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+],chembl_mito_safe_drugs,non-toxic
SERATRODAST,ZBVKEHDGYSLCCC-UHFFFAOYSA-N,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,chembl_mito_safe_drugs,non-toxic
ETRAVIRINE,PYGWGZALEOIKDF-UHFFFAOYSA-N,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,chembl_mito_safe_drugs,non-toxic
CANDESARTAN CILEXETIL,GHOSNRCGJFBJIB-UHFFFAOYSA-N,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,chembl_mito_safe_drugs,non-toxic
DEXKETOPROFEN,DKYWVDODHFEZIM-NSHDSACASA-N,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,chembl_mito_safe_drugs,non-toxic
BEXAROTENE,NAVMQTYZDKMPEU-UHFFFAOYSA-N,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,chembl_mito_safe_drugs,non-toxic
