PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
8,144203559,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Active,47,,,active antagonist,active antagonist,28.7255,-104.862,inactive,,0,active antagonist,26.6032,-107.612,inactive,,0,NCI
9,144203560,2724372,C=C[C@H]1CN2CCC1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,NCI
10,144203561,637566,CC(=CCC/C(=C/CO)/C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
11,144203562,994,C1=CC=C(C=C1)CC(C(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
12,144203563,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
13,144203564,79472,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Active,48,,,active antagonist,active antagonist,25.0066,-99.0601,active agonist,28.0578,96.2381,active antagonist,22.095,-51.6939,inactive,,0,Labotest
14,144203565,3080,C(C(CS)S)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
15,144203566,197883,[C@H]([C@@H](C(=O)O)S)(C(=O)O)S,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
16,144203567,51,C(CC(=O)O)C(=O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
17,144203568,66064,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,Inconclusive,20,,,active agonist,active agonist,6.68242,160.24,active antagonist,15.5454,-31.045,active agonist,5.10819,96.0302,active antagonist,34.8017,-47.4843,NCI
18,144203569,66435,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
19,144203570,8969,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
20,144203571,10664,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,NCI
21,144203572,8739,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chembridge
22,144203573,4904,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inconclusive,5,,,inconclusive,inconclusive agonist,,30.6623,inactive,,0,inactive,,0,inactive,,0,NCI
23,144203574,65463,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl,Active,43,,,active antagonist,active antagonist,32.2305,-51.9476,inactive,,0,inconclusive antagonist,29.8493,-62.8369,inactive,,0,NCI
24,144203575,439501,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Active,69,,,active antagonist,active antagonist,0.237101,-78.0102,inactive,,0,active antagonist,0.228175,-77.7139,inconclusive agonist,,,NCI
25,144203576,65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
26,144203577,60196259,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
27,144203578,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,Inconclusive,5,,,inconclusive,inconclusive antagonist,33.4915,-51.1884,inactive,,0,inactive,,0,inactive,,0,NCI
28,144203579,3246155,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Inconclusive,20,,,active agonist,active agonist,18.1246,85.5781,inactive,,0,inconclusive agonist,10.5909,72.2003,inactive,,0,NCI
29,144203580,5920,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Active,47,,,active antagonist,active antagonist,24.6377,-91.0316,active agonist,23.7101,29.6447,inconclusive antagonist,23.7101,-68.9737,inactive,,0,NCI
30,144203581,54724367,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
31,144203582,7329,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Active,64,,,active antagonist,active antagonist,2.50066,-106.562,active agonist,10.3448,30.7888,active antagonist,2.59849,-105.163,active antagonist,14.1232,-41.5495,NIEHS
32,144203583,667466,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,8.41267,77.5479,active antagonist,13.3332,-31.6853,active antagonist,33.4915,-56.1502,inactive,,0,NCI
33,144203584,24403,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
34,144203585,6419941,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
35,144203586,6603108,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
36,144203587,6419978,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
37,144203588,5459110,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
38,144203589,656597,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
39,144203590,3000668,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
40,144203591,22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Inconclusive,20,,,active agonist,active agonist,8.09594,63.2352,inactive,,0,active agonist,6.68242,48.387,inactive,,0,NCI
41,144203592,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Active,62,,,active antagonist,active antagonist,7.21552,-137.67,inconclusive agonist,31.618,24.9825,active antagonist,8.09594,-94.4776,inactive,,0,NCI
42,144203593,614,C1CC(NC1)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
43,144203594,94280,CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C,Inconclusive,20,,,active agonist,active agonist,11.8832,82.4451,inactive,,0,active agonist,9.43918,58.1069,inactive,,0,NCI
44,144203595,23664709,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
45,144203596,546,C(C(=O)O)P(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
46,144203597,16678045,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
47,144203598,14676,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl,Inconclusive,20,,,active agonist,active agonist,8.41267,90.3932,inactive,,0,active agonist,3.61632,63.6471,inactive,,0,NCI
48,144203599,441358,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,20,,,active agonist,active agonist,9.80846,64.5455,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
49,144203600,71822,CCC1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)CN(C)C.Cl,Inconclusive,20,,,active agonist,active agonist,8.41267,129.644,inactive,,0,active agonist,8.7418,91.3203,inactive,,0,NCI
50,144203601,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
51,144203602,298391,CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
52,144203603,4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
53,144203604,2348,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,NCI
54,144203605,23667629,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
55,144203606,122820,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl.Cl,Active,46,,,active antagonist,active antagonist,34.8017,-107.032,inactive,,0,active antagonist,33.4915,-106.662,inactive,,0,NCI
56,144203607,3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
57,144203608,65758,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bionet
58,144203609,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
59,144203610,4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
60,144203611,71203,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
61,144203612,3061720,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
62,144203613,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
63,144203614,2266,C(CCCC(=O)O)CCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
64,144203615,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inconclusive,20,,,active agonist,active agonist,15.8465,65.7773,inactive,,0,inconclusive agonist,14.1232,59.413,inactive,,0,BIOMOL
65,144203616,1727,C1=CN=CC=C1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
66,144203617,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Inconclusive,20,,,active agonist,active agonist,21.448,109.431,inactive,,0,active agonist,16.2037,89.2605,inactive,,0,Microsource
67,144203618,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
68,144203619,2130,C1C2CC3CC1CC(C2)(C3)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
69,144203620,169371,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
70,144203621,5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,Inconclusive,5,,,inconclusive,inconclusive agonist,0.0112185,44.0995,inactive,,0,inactive,,0,inactive,,0,BIOMOL
71,144203622,119,C(CC(=O)O)CN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
72,144203623,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Inconclusive,20,,,active agonist,active agonist,26.6032,67.0461,inactive,,0,inconclusive agonist,,43.442,inactive,,0,SigmaAldrich
73,144203624,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
74,144203625,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
75,144203626,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
76,144203627,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
77,144203628,2141,C(CN)CNCCSP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
78,144203629,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
79,144203630,2230,CN1CCC=C(C1)C(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
80,144203631,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,BIOMOL
81,144203632,564,C(CCC(=O)O)CCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
82,144203633,135401907,C1=NNC2=C1C(=O)NC=N2,Inconclusive,5,,,inconclusive,inconclusive antagonist,2.81796,-39.8725,inactive,,0,inactive,,0,inactive,,0,NIEHS
83,144203634,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inconclusive,20,,,active agonist,active agonist,10.1922,119.268,active antagonist,12.3481,-29.5083,inconclusive agonist,8.91116,73.0205,inactive,,0,BIOMOL
84,144203635,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inconclusive,20,,,active agonist,active agonist,18.1246,74.0713,inactive,,0,inconclusive agonist,,,inactive,,0,BIOMOL
85,144203636,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
86,144203637,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
87,144203638,4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
88,144203639,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203640,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,14.9601,-78.8738,active antagonist,8.7418,-32.7473,active antagonist,12.5873,-90.9287,inconclusive antagonist,12.5873,-32.0326,BIOMOL
90,144203641,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
91,144203642,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
92,144203643,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
93,144203644,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
94,144203645,1687,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Inconclusive,20,,,active agonist,active agonist,9.21978,117.564,active antagonist,20.6405,-32.5195,active agonist,9.95529,72.6991,inactive,,0,BIOMOL
95,144203646,2765,C1CC1C2=CC=CC=C2OCC3=NCCN3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
96,144203647,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
97,144203648,2578,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
98,144203649,2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
99,144203650,6241,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
100,144203651,22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
101,144203652,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,16.7855,-35.303,inactive,,0,inconclusive antagonist,18.8336,-40.4077,inactive,,0,Microsource
102,144203653,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
103,144203654,4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Active,52,,,active antagonist,active antagonist,14.3968,-104.504,active agonist,11.4358,39.8324,active antagonist,19.5704,-99.7217,inactive,,0,SigmaAldrich
104,144203655,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
105,144203656,2733,C1=CC2=C(C=C1Cl)NC(=O)O2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,"Prestwick Chemical, Inc."
106,144203657,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
107,144203658,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
108,144203659,5309446,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
109,144203660,1547484,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
110,144203661,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,29.8493,38.6955,inactive,,0,BIOMOL
111,144203662,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,10.1235,-75.6975,inactive,,0,inconclusive antagonist,11.3588,-65.578,inactive,,0,"Prestwick Chemical, Inc."
112,144203663,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inconclusive,20,,,active agonist,active agonist,7.79114,74.9841,inactive,,0,inconclusive agonist,9.43918,110.668,inactive,,0,BIOMOL
113,144203664,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inconclusive,20,,,active agonist,active agonist,12.3481,79.358,inactive,,0,active agonist,9.43918,67.5775,inactive,,0,BIOMOL
114,144203665,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
